county,A08,A18,Sex,Age,A20,B3A__1,B3A__2,B3A__3,B3A__4,B3A__5,B3A__6,B3A__7,B3A__8,B3A__9,B3A__10,B3A__11,B3A__98,B3A__99,S1,S2__1,S6,S7_5,indWeight,Education,mobile_money_access,formal_access_fnl,Access_fnl,Overall_Access_fnl,mobile_money_access_primary,financially_excluded,age_years,age_group_youth,employment_category,internet_access,owns_private_mobile,digital_access_score
Kajiado,Rural,30,Male,26-35,"""Secondary completed """,1,0,1,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,1075.98681640625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,self_employment,no,yes,2
Baringo,Rural,25,Male,18-25,"""Secondary completed """,1,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,1076.5869140625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,25,18-25,self_employment,no,yes,2
Meru,Rural,29,Male,26-35,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage,1434.1571044921875,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,29,26-30,casual_work,no,yes,2
Wajir,Rural,32,Female,26-35,"""None """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,341.2324523925781,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,self_employment,no,yes,1
Bungoma,Rural,33,Male,26-35,"""Primary completed""",1,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with difficulties,1826.958740234375,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,33,31-35,self_employment,yes,yes,3
Kirinyaga,Rural,20,Female,18-25,"""Secondary completed """,0,1,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with difficulties,549.9453735351562,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,20,18-25,regular_employment,yes,yes,3
Kisii,Rural,33,Male,26-35,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I can manage,1454.165771484375,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,33,31-35,casual_work,no,yes,2
Kisii,Rural,32,Female,26-35,"""Secondary completed """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,,I have no idea/I dont know,814.6832275390625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,32,31-35,farming,no,yes,1
Vihiga,Rural,29,Female,26-35,"""Some primary """,0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,,I have no idea/I dont know,563.1012573242188,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,29,26-30,casual_work,no,yes,1
Bomet,Rural,30,Female,26-35,"""Primary completed""",0,0,1,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage,1049.377197265625,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,self_employment,yes,yes,3
Marsabit,Rural,30,Female,26-35,"""University completed """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I can manage with ease,216.13800048828125,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,self_employment,yes,yes,3
Elgeyo-Marakwet,Rural,26,Male,26-35,"""Some primary """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,995.780517578125,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,26,26-30,farming,no,yes,1
Tana River,Rural,32,Female,26-35,"""None """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,743.1416625976562,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,family_remittance,no,yes,1
Samburu,Rural,21,Female,18-25,"""None """,0,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,241.522216796875,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,21,18-25,family_remittance,no,yes,1
Kitui,Rural,18,Female,18-25,"""Some secondary""",0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,3601.773193359375,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,18,18-25,self_employment,yes,yes,2
Homabay,Rural,35,Male,26-35,"""Primary completed""",1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Okay/Fair/Average,I can manage with difficulties,1559.951416015625,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,35,31-35,farming,no,yes,2
Nandi,Rural,33,Male,26-35,"""Some secondary""",1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,3206.901611328125,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,33,31-35,casual_work,yes,yes,3
Meru,Rural,22,Female,18-25,"""Some primary """,0,0,0,0,0,0,0,0,0,1,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I have no idea/I dont know,1898.5511474609375,Primary,No,No,Excluded,excluded,No,1,22,18-25,other_or_no_income_source,yes,yes,2
Uasin Gishu,Rural,32,Female,26-35,"""Some primary """,1,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,950.310302734375,Primary,Yes,Yes,Formal Prudential,formal only,Yes,0,32,31-35,self_employment,no,yes,1
Kilifi,Rural,18,Male,18-25,"""Some primary """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,4341.04638671875,Primary,Yes,No,Informal,informal only,No,0,18,18-25,casual_work,no,yes,1
Elgeyo-Marakwet,Rural,32,Female,26-35,"""Some primary """,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Weak/poor,I have no idea/I dont know,462.40411376953125,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,farming,no,yes,1
Nakuru,Rural,22,Female,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Don't Know,I have no idea/I dont know,2896.1396484375,Primary,No,No,Excluded,excluded,No,1,22,18-25,casual_work,no,no,0
Vihiga,Rural,29,Female,26-35,Completed technical training after secondary school,1,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I can manage with ease,1296.9632568359375,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,29,26-30,casual_work,no,yes,2
Kirinyaga,Rural,30,Female,26-35,"""University completed """,1,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage,660.0969848632812,Tertiary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,self_employment,yes,yes,3
